,0
ROK,0
ROL,0
ROP,0
ROST,0
RSG,0
RTX,0
RVTY,0
SBAC,0
SBUX,0
SCHW,0
SEDG,0
SEE,0
SHW,0
SJM,6
SLB,0
SNA,0
SNPS,0
SO,0
SPG,0
SPGI,0
SRE,0
STE,0
STLD,1
STT,0
STX,0
STZ,0
SWK,0
SWKS,0
SYF,0
SYK,0
SYY,0
T,0
TAP,0
TDG,0
TDY,0
TECH,0
TEL,0
TER,0
TFC,0
TFX,0
TGT,0
TJX,0
TMO,0
TMUS,0
TPR,0
TRGP,0
TRMB,1
TROW,2
TRV,0
TSCO,0
TSLA,0
TSN,0
TT,0
TTWO,0
TXN,0
TXT,0
TYL,0
UAL,0
UDR,0
UHS,0
ULTA,0
UNH,1
UNP,0
UPS,0
URI,0
USB,0
V,0
VFC,0
VICI,0
VLO,0
VLTO,0
VMC,0
VRSK,0
VRSN,0
VRTX,0
VTR,0
VTRS,0
VZ,0
WAB,0
WAT,0
WBA,0
WBD,0
WDC,0
WEC,0
WELL,0
WFC,0
WHR,0
WM,0
WMB,0
WMT,0
WRB,0
WRK,0
WST,0
WTW,0
WY,0
WYNN,0
XEL,0
XOM,0
XRAY,0
XYL,0
YUM,0
ZBH,0
ZBRA,0
ZION,0
ZTS,0
A.1,0
AAL.1,0
AAPL.1,0
ABBV.1,0
ABNB.1,0
ABT.1,0
ACGL.1,0
ACN.1,0
ADBE.1,0
ADI.1,0
ADM.1,0
ADP.1,0
ADSK.1,0
AEE.1,1
AEP.1,0
AES.1,0
AFL.1,0
AIG.1,0
AIZ.1,0
AJG.1,0
AKAM.1,0
ALB.1,0
ALGN.1,0
ALK.1,0
ALL.1,0
ALLE.1,0
AMAT.1,0
AMCR.1,0
AMD.1,0
AME.1,0
AMGN.1,0
AMP.1,0
AMT.1,0
AMZN.1,0
ANET.1,0
ANSS.1,1
AON.1,0
AOS.1,0
APA.1,0
APD.1,0
APH.1,0
APTV.1,0
ARE.1,0
ATO.1,1
AVB.1,0
AVGO.1,0
AVY.1,0
AWK.1,1
AXON.1,0
AXP.1,0
AZO.1,0
BA.1,0
BAC.1,0
BALL.1,2
BAX.1,3
BBWI.1,0
BBY.1,0
BDX.1,0
BEN.1,1
BF.B.1,0
BG.1,0
BIIB.1,0
BIO.1,0
BK.1,0
BKNG.1,0
BKR.1,0
BLK.1,0
BMY.1,0
BR.1,0
BRK.B.1,0
BRO.1,0
BSX.1,0
BWA.1,0
BX.1,0
BXP.1,0
C.1,0
CAG.1,0
CAH.1,0
CARR.1,0
CAT.1,0
CB.1,0
CBOE.1,0
CBRE.1,0
CCI.1,0
CCL.1,0
CDAY.1,0
CDNS.1,0
CDW.1,0
CE.1,0
CEG.1,0
CF.1,0
CFG.1,0
CHD.1,0
CHRW.1,0
CHTR.1,0
CI.1,0
CINF.1,0
CL.1,0
CLX.1,1
CMA.1,0
CMCSA.1,0
CME.1,0
CMG.1,0
CMI.1,0
CMS.1,1
CNC.1,0
CNP.1,1
COF.1,0
COO.1,0
COP.1,0
COR.1,0
COST.1,0
CPB.1,0
CPRT.1,0
CPT.1,0
CRL.1,0
CRM.1,0
CSCO.1,0
CSGP.1,0
CSX.1,0
CTAS.1,0
CTLT.1,0
CTRA.1,0
CTSH.1,0
CTVA.1,0
CVS.1,0
