,0
A,0
AAL,0
AAPL,0
ABBV,0
ABNB,6
ABT,0
ACGL,0
ACN,0
ADBE,0
ADI,1
ADM,0
ADP,0
ADSK,0
AEE,3
AEP,0
AES,3
AFL,0
AIG,0
AIZ,0
AJG,0
AKAM,0
ALB,0
ALGN,9
ALK,0
ALL,25
ALLE,0
AMAT,0
AMCR,0
AMD,0
AME,0
AMGN,0
AMP,0
AMT,6
AMZN,0
ANET,0
ANSS,13
AON,0
AOS,10
APA,0
APD,1
APH,0
APTV,0
ARE,43
ATO,3
AVB,0
AVGO,0
AVY,0
AWK,13
AXON,0
AXP,0
AZO,0
BA,19
BAC,0
BALL,2
BAX,0
BBWI,9
BBY,0
BDX,0
BEN,1
BF.B,0
BG,0
BIIB,0
BIO,0
BK,6
BKNG,0
BKR,0
BLK,0
BMY,0
BR,0
BRK.B,0
BRO,0
BSX,0
BWA,6
BX,0
BXP,0
C,0
CAG,0
CAH,0
CARR,0
CAT,0
CB,0
CBOE,0
CBRE,0
CCI,0
CCL,0
CDAY,0
CDNS,0
CDW,0
CE,0
CEG,0
CF,0
CFG,36
CHD,0
CHRW,0
CHTR,0
CI,0
CINF,12
CL,0
CLX,21
CMA,12
CMCSA,0
CME,0
CMG,0
CMI,2
CMS,3
CNC,9
CNP,1
COF,0
COO,0
COP,0
COR,0
COST,0
CPB,0
CPRT,0
CPT,1
CRL,22
CRM,5
CSCO,0
CSGP,0
CSX,1
CTAS,0
CTLT,11
CTRA,0
CTSH,0
CTVA,0
CVS,25
CVX,0
CZR,0
D,0
DAL,0
DD,0
DE,0
DFS,0
DG,0
DGX,0
DHI,0
DHR,0
DIS,0
DLR,0
DLTR,28
DOV,2
DOW,0
DPZ,0
DRI,0
DTE,4
DUK,0
DVA,0
DVN,17
DXCM,6
EA,3
EBAY,11
ECL,0
ED,2
EFX,0
EG,0
EIX,0
EL,0
ELV,1
EMN,0
EMR,0
ENPH,0
EOG,0
EPAM,0
EQIX,0
EQR,0
EQT,0
ES,0
ESS,0
ETN,0
ETR,0
ETSY,0
EVRG,14
EW,0
EXC,2
EXPD,0
EXPE,0
EXR,0
F,17
FANG,0
FAST,0
FCX,0
FDS,0
FDX,0
FE,1
FFIV,0
FI,1
FICO,0
FIS,16
FITB,31
FLT,0
FMC,0
FOX,0
FOXA,0
FRT,0
FSLR,0
FTNT,0
FTV,0
GD,0
GE,0
GEHC,0
GEN,0
GILD,0
GIS,0
GL,0
GLW,0
GM,0
GNRC,23
GOOG,0
GOOGL,0
GPC,0
GPN,0
GRMN,0
GS,0
GWW,22
HAL,0
HAS,0
HBAN,20
HCA,0
HD,0
HES,0
HIG,0
HII,0
HLT,3
HOLX,1
HON,0
HPE,0
HPQ,0
HRL,37
HSIC,4
HST,0
HSY,0
HUM,9
HWM,0
IBM,0
ICE,1
IDXX,19
IEX,0
IFF,0
ILMN,20
INCY,0
INTC,0
INTU,0
INVH,0
IP,0
IPG,0
IQV,0
IR,0
IRM,0
ISRG,0
IT,0
ITW,1
IVZ,0
J,0
JBHT,0
JCI,0
JKHY,0
JNJ,3
JNPR,0
JPM,0
K,10
KDP,0
KEY,46
KEYS,0
KHC,0
KIM,0
KLAC,0
KMB,0
KMI,0
KMX,0
KO,7
KR,0
KVUE,0
L,0
LDOS,12
LEN,0
LH,0
LHX,0
LIN,0
LKQ,0
LLY,0
LMT,10
LNT,2
LOW,0
LRCX,0
LUV,0
LVS,17
LW,0
LYB,0
LYV,0
MA,0
MAA,21
MAR,0
MAS,0
MCD,0
MCHP,6
MCK,0
MCO,0
MDLZ,0
MDT,0
MET,0
META,0
MGM,23
MHK,2
MKC,0
MKTX,0
MLM,0
MMC,0
MMM,8
MNST,0
MO,0
MOH,0
MOS,0
MPC,0
MPWR,4
MRK,0
MRNA,0
MRO,0
MS,2
MSCI,0
MSFT,0
MSI,0
MTB,0
MTCH,0
MTD,0
MU,0
NCLH,1
NDAQ,1
NDSN,0
NEE,14
NEM,0
NFLX,0
NI,9
NKE,0
NOC,6
NOW,0
NRG,0
NSC,0
NTAP,0
NTRS,0
NUE,0
NVDA,0
NVR,0
NWS,0
NWSA,0
NXPI,0
O,17
ODFL,0
OGN,23
OKE,0
OMC,0
ON,0
ORCL,0
ORLY,0
OTIS,0
OXY,0
PANW,0
PARA,0
PAYC,6
PAYX,0
PCAR,0
PCG,0
PEAK,47
PEG,1
PEP,0
PFE,8
PFG,0
PG,0
PGR,2
PH,0
PHM,0
PKG,0
PLD,19
PM,0
PNC,17
PNR,0
PNW,0
PODD,39
POOL,4
PPG,0
PPL,0
PRU,0
PSA,1
PSX,0
PTC,0
PWR,0
PXD,0
PYPL,0
QCOM,0
QRVO,0
RCL,0
REG,0
REGN,0
RF,0
RHI,7
RJF,0
RL,0
RMD,0
ROK,5
ROL,0
ROP,0
ROST,0
RSG,0
RTX,0
RVTY,0
SBAC,0
SBUX,0
SCHW,0
SEDG,0
SEE,0
SHW,0
SJM,25
SLB,0
SNA,0
SNPS,0
SO,0
SPG,0
SPGI,0
SRE,0
STE,0
STLD,24
STT,10
STX,2
STZ,0
SWK,0
SWKS,0
SYF,0
SYK,0
SYY,11
T,0
TAP,0
TDG,0
TDY,0
TECH,0
TEL,1
TER,0
TFC,46
TFX,5
TGT,0
TJX,0
TMO,0
TMUS,1
TPR,21
TRGP,0
TRMB,3
TROW,4
TRV,0
TSCO,0
TSLA,0
TSN,0
TT,0
TTWO,0
TXN,0
TXT,0
TYL,0
UAL,0
UDR,0
UHS,0
ULTA,0
UNH,1
UNP,2
UPS,0
URI,0
USB,0
V,0
VFC,22
VICI,1
VLO,0
VLTO,3
VMC,0
VRSK,0
VRSN,0
VRTX,0
VTR,0
VTRS,0
VZ,0
WAB,0
WAT,0
WBA,0
WBD,0
WDC,0
WEC,2
WELL,0
WFC,0
WHR,0
WM,0
WMB,0
WMT,0
WRB,0
WRK,0
WST,12
WTW,0
WY,0
WYNN,0
XEL,0
XOM,0
XRAY,2
XYL,0
YUM,0
ZBH,0
ZBRA,2
ZION,4
ZTS,1
A.1,0
AAL.1,0
AAPL.1,0
ABBV.1,0
ABNB.1,6
ABT.1,0
ACGL.1,0
ACN.1,0
ADBE.1,0
ADI.1,1
ADM.1,0
ADP.1,0
ADSK.1,0
AEE.1,1
AEP.1,0
AES.1,1
AFL.1,0
AIG.1,0
AIZ.1,0
AJG.1,0
AKAM.1,0
ALB.1,0
ALGN.1,9
ALK.1,0
ALL.1,23
ALLE.1,0
AMAT.1,0
AMCR.1,0
AMD.1,0
AME.1,0
AMGN.1,0
AMP.1,0
AMT.1,0
AMZN.1,0
ANET.1,0
ANSS.1,13
AON.1,1
AOS.1,10
APA.1,0
APD.1,3
APH.1,0
APTV.1,0
ARE.1,54
ATO.1,9
AVB.1,0
AVGO.1,0
AVY.1,0
AWK.1,12
AXON.1,0
AXP.1,0
AZO.1,0
BA.1,19
BAC.1,0
BALL.1,2
BAX.1,2
BBWI.1,9
BBY.1,0
BDX.1,0
BEN.1,2
BF.B.1,0
BG.1,0
BIIB.1,0
BIO.1,0
BK.1,10
BKNG.1,0
BKR.1,0
BLK.1,0
BMY.1,0
BR.1,0
BRK.B.1,0
BRO.1,0
BSX.1,0
BWA.1,2
BX.1,0
BXP.1,0
C.1,0
CAG.1,0
CAH.1,0
CARR.1,0
CAT.1,0
CB.1,0
CBOE.1,0
CBRE.1,0
CCI.1,0
CCL.1,0
CDAY.1,0
CDNS.1,0
CDW.1,0
CE.1,0
CEG.1,0
CF.1,0
CFG.1,38
CHD.1,0
CHRW.1,0
CHTR.1,0
CI.1,0
CINF.1,17
CL.1,1
CLX.1,20
CMA.1,17
CMCSA.1,0
CME.1,0
CMG.1,0
CMI.1,0
CMS.1,1
CNC.1,9
CNP.1,1
COF.1,0
COO.1,0
COP.1,0
COR.1,0
COST.1,0
CPB.1,0
CPRT.1,0
CPT.1,6
CRL.1,22
CRM.1,5
CSCO.1,0
CSGP.1,0
CSX.1,0
CTAS.1,0
CTLT.1,11
CTRA.1,0
CTSH.1,0
CTVA.1,0
CVS.1,30
CVX.1,1
CZR.1,0
D.1,0
DAL.1,0
DD.1,0
DE.1,0
DFS.1,0
DG.1,0
DGX.1,0
DHI.1,0
DHR.1,0
DIS.1,0
DLR.1,0
DLTR.1,28
DOV.1,2
DOW.1,0
DPZ.1,0
DRI.1,0
DTE.1,5
DUK.1,0
DVA.1,0
DVN.1,18
DXCM.1,6
EA.1,1
EBAY.1,9
ECL.1,0
ED.1,2
EFX.1,0
EG.1,0
EIX.1,6
EL.1,0
ELV.1,1
EMN.1,0
EMR.1,0
ENPH.1,0
EOG.1,0
EPAM.1,0
EQIX.1,0
EQR.1,0
EQT.1,0
ES.1,0
ESS.1,0
ETN.1,0
ETR.1,0
ETSY.1,0
EVRG.1,14
EW.1,0
EXC.1,2
EXPD.1,0
EXPE.1,0
EXR.1,0
F.1,12
FANG.1,0
FAST.1,1
FCX.1,0
FDS.1,0
FDX.1,0
FE.1,0
FFIV.1,0
FI.1,1
FICO.1,0
FIS.1,18
FITB.1,41
FLT.1,0
FMC.1,0
FOX.1,0
FOXA.1,2
FRT.1,0
FSLR.1,0
FTNT.1,0
FTV.1,0
GD.1,2
GE.1,0
GEHC.1,0
GEN.1,0
